BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
201602,24,1916,201602,24,1916,103920,621666,MARYLAND,24,2016,February,Thunderstorm Wind,C,37,ST. MARY'S,LWX,24-FEB-16 19:16:00,EST-5,24-FEB-16 19:16:00,0,0,0,0,,,911 Call Center,52.00,EG,,,,,,,,,,1,S,LNRDTWN ST MARYS ARP,1,S,LNRDTWN ST MARYS ARP,38.3,-76.55,38.3,-76.55,"Strong low pressure moved from the deep south to the Great Lakes, dragging a cold front through the Mid-Atlantic. Strong veering winds as a warm front lifted north ahead of the cold front led to increased sheer across the area. This combined with marginal instability led to multiple rounds of thunderstorms, with embedded severe with strong winds and small hail and multiple tornadic cells.",A large tree was reported down blocking Wildewood Parkway at Wildewood Dr.,CSV
201602,24,1939,201602,24,1939,103920,621672,MARYLAND,24,2016,February,Thunderstorm Wind,C,37,ST. MARY'S,LWX,24-FEB-16 19:39:00,EST-5,24-FEB-16 19:39:00,0,0,0,0,,,Emergency Manager,52.00,EG,,,,,,,,,,1,N,LNRDTWN ST MARYS ARP,1,N,LNRDTWN ST MARYS ARP,38.33,-76.55,38.33,-76.55,"Strong low pressure moved from the deep south to the Great Lakes, dragging a cold front through the Mid-Atlantic. Strong veering winds as a warm front lifted north ahead of the cold front led to increased sheer across the area. This combined with marginal instability led to multiple rounds of thunderstorms, with embedded severe with strong winds and small hail and multiple tornadic cells.",Multiple trees down at 235 Mervell Dean Rd.,CSV
201602,24,2027,201602,24,2027,103920,621674,MARYLAND,24,2016,February,Thunderstorm Wind,C,37,ST. MARY'S,LWX,24-FEB-16 20:27:00,EST-5,24-FEB-16 20:27:00,0,0,0,0,,,Trained Spotter,56.00,EG,,,,,,,,,,2,E,BUDDS CREEK,2,E,BUDDS CREEK,38.4,-76.8,38.4,-76.8,"Strong low pressure moved from the deep south to the Great Lakes, dragging a cold front through the Mid-Atlantic. Strong veering winds as a warm front lifted north ahead of the cold front led to increased sheer across the area. This combined with marginal instability led to multiple rounds of thunderstorms, with embedded severe with strong winds and small hail and multiple tornadic cells.",A few trees were reported down in Lexington Park and Leonardtown.,CSV
201602,24,1749,201602,24,1749,103920,621679,MARYLAND,24,2016,February,Thunderstorm Wind,C,31,MONTGOMERY,LWX,24-FEB-16 17:49:00,EST-5,24-FEB-16 17:49:00,0,0,0,0,,,Mesonet,61.00,MG,,,,,,,,,,1,W,NEELSVILLE,1,W,NEELSVILLE,39.2,-77.26,39.2,-77.26,"Strong low pressure moved from the deep south to the Great Lakes, dragging a cold front through the Mid-Atlantic. Strong veering winds as a warm front lifted north ahead of the cold front led to increased sheer across the area. This combined with marginal instability led to multiple rounds of thunderstorms, with embedded severe with strong winds and small hail and multiple tornadic cells.",,CSV
201609,29,1700,201609,29,2230,110358,661063,VIRGINIA,51,2016,September,Flood,C,69,FREDERICK,LWX,29-SEP-16 17:00:00,EST-5,29-SEP-16 22:30:00,0,0,0,0,0.00K,0.00K,911 Call Center,,,Heavy Rain,,,,,,,,,2,ENE,HAYFIELD,2,ENE,HAYFIELD,39.24,-78.26,39.2413,-78.2611,An upper level low was over Kentucky for an extended period of time and southerly flow  led to persistent moisture advection across the Mid-Atlantic region. Showers and thunderstorms moved from south to north and led to multiple rounds of heavy rain. Flooding occurred across the Mid-Atlantic region.,Indian Hollow Road was closed in the 2200 Block due to high water.,CSV
201609,29,1700,201609,29,2230,110358,661064,VIRGINIA,51,2016,September,Flood,C,69,FREDERICK,LWX,29-SEP-16 17:00:00,EST-5,29-SEP-16 22:30:00,0,0,0,0,0.00K,0.00K,911 Call Center,,,Heavy Rain,,,,,,,,,1,SW,GREEN SPG,2,WSW,GREEN SPG,39.2894,-78.1824,39.2955,-78.1979,An upper level low was over Kentucky for an extended period of time and southerly flow  led to persistent moisture advection across the Mid-Atlantic region. Showers and thunderstorms moved from south to north and led to multiple rounds of heavy rain. Flooding occurred across the Mid-Atlantic region.,Cattail Road was closed due to high water.,CSV
201609,29,703,201609,29,1000,110359,661065,MARYLAND,24,2016,September,Flood,C,3,ANNE ARUNDEL,LWX,29-SEP-16 07:03:00,EST-5,29-SEP-16 10:00:00,0,0,0,0,0.00K,0.00K,Department of Highways,,,Heavy Rain,,,,,,,,,1,SSE,CROFTON,1,WNW,LUSBY XRDS,38.9904,-76.6459,38.9825,-76.6145,An upper level low was over Kentucky for an extended period of time and southerly flow  led to persistent moisture advection across the Mid-Atlantic region. Showers and thunderstorms moved from south to north and led to multiple rounds of heavy rain. Flooding occurred across the Mid-Atlantic region.,Defense Highway was flooded and closed in both directions in vicinity of Bell Branch and North River.,CSV
201609,29,727,201609,29,1000,110359,661066,MARYLAND,24,2016,September,Flood,C,31,MONTGOMERY,LWX,29-SEP-16 07:27:00,EST-5,29-SEP-16 10:00:00,0,0,0,0,0.00K,0.00K,Emergency Manager,,,Heavy Rain,,,,,,,,,1,N,TAKOMA PARK,1,N,TAKOMA PARK,38.9835,-76.9992,38.9817,-77.0018,An upper level low was over Kentucky for an extended period of time and southerly flow  led to persistent moisture advection across the Mid-Atlantic region. Showers and thunderstorms moved from south to north and led to multiple rounds of heavy rain. Flooding occurred across the Mid-Atlantic region.,Sligo Creek Parkway was flooded and closed between Maple Avenue and Carroll Avenue.,CSV
201609,3,1134,201609,3,1831,117990,709296,MARYLAND,24,2016,September,Coastal Flood,Z,17,ST. MARY'S,LWX,03-SEP-16 11:34:00,EST-5,03-SEP-16 18:31:00,0,0,0,0,,,River/Stream Gage,,,,,,,,,,,,,,,,,,,,,,A strong onshore flow led to moderate flooding near Straits Point in St Marys County.,"According to gauge levels, water covered roads on St. Georges Island, was in yards, and approached structures. To the east, inundation occurred at multiple marinas off St. Mary's River, Smith Creek, and Jutland Creek.",CSV
201609,29,2251,201609,30,524,117991,709298,MARYLAND,24,2016,September,Coastal Flood,Z,17,ST. MARY'S,LWX,29-SEP-16 22:51:00,EST-5,30-SEP-16 05:24:00,0,0,0,0,,,River/Stream Gage,,,,,,,,,,,,,,,,,,,,,,A strong onshore flow led to moderate flooding near Straits Point in St Marys County.,"According to gauge levels, water covered roads on St. Georges Island, was in yards, and approached structures. To the east, inundation occurred at multiple marinas off St. Mary's River, Smith Creek, and Jutland Creek.",CSV
201607,5,2240,201607,5,2244,108383,649195,MICHIGAN,26,2016,July,Thunderstorm Wind,C,61,HOUGHTON,MQT,05-JUL-16 22:40:00,EST-5,05-JUL-16 22:44:00,0,0,0,0,2.00K,0.00K,Social Media,55.00,EG,,,,,,,,,,1,S,HISULA,1,S,HISULA,46.76,-88.78,46.76,-88.78,A cluster of thunderstorms formed from a passing disturbance moving through a moist and unstable air mass.  A few of these storms became severe over the west half of Upper Michigan on the evening of the 5th.,A metal framed RV storage shelter was flattened near Nisula.  This was a delayed report relayed via social media.,CSV
